scraped_at,rankings_date,official_rank,player_name,age,official_points
2026-07-03T14:30:14Z,2026-06-29,121,N. Budkov Kjaer,,522
2026-07-03T14:30:14Z,2026-06-29,121,Nicolai Budkov Kjaer,19,522
2026-07-03T14:30:14Z,2026-06-29,122,H. Rocha,,519
2026-07-03T14:30:14Z,2026-06-29,122,Henrique Rocha,22,519
2026-07-03T14:30:14Z,2026-06-29,123,T. Samuel,,515
2026-07-03T14:30:14Z,2026-06-29,123,Toby Samuel,23,515
2026-07-03T14:30:14Z,2026-06-29,124,C. O'Connell,,505
2026-07-03T14:30:14Z,2026-06-29,124,Christopher O'Connell,32,505
2026-07-03T14:30:14Z,2026-06-29,125,C. Garin,,504
2026-07-03T14:30:14Z,2026-06-29,125,Cristian Garin,30,504
2026-07-03T14:30:14Z,2026-06-29,126,A. Muller,,494
2026-07-03T14:30:14Z,2026-06-29,126,Alexandre Muller,29,494
2026-07-03T14:30:14Z,2026-06-29,127,D. Sweeny,,493
2026-07-03T14:30:14Z,2026-06-29,127,Dane Sweeny,25,493
2026-07-03T14:30:14Z,2026-06-29,128,F. Maestrelli,,480
2026-07-03T14:30:14Z,2026-06-29,128,Francesco Maestrelli,23,480
2026-07-03T14:30:14Z,2026-06-29,129,V. Gaubas,,474
2026-07-03T14:30:14Z,2026-06-29,129,Vilius Gaubas,21,474
2026-07-03T14:30:14Z,2026-06-29,130,S. Travaglia,,464
2026-07-03T14:30:14Z,2026-06-29,130,Stefano Travaglia,34,464
2026-07-03T14:30:14Z,2026-06-29,131,J. Draper,,460
2026-07-03T14:30:14Z,2026-06-29,131,Jack Draper,24,460
2026-07-03T14:30:14Z,2026-06-29,132,R. Safiullin,,458
2026-07-03T14:30:14Z,2026-06-29,132,Roman Safiullin,28,458
2026-07-03T14:30:14Z,2026-06-29,133,A. Pellegrino,,457
2026-07-03T14:30:14Z,2026-06-29,133,Andrea Pellegrino,29,457
2026-07-03T14:30:14Z,2026-06-29,134,P. Martinez,,451
2026-07-03T14:30:14Z,2026-06-29,134,Pedro Martinez,29,451
2026-07-03T14:30:14Z,2026-06-29,135,N. Basavareddy,,446
2026-07-03T14:30:14Z,2026-06-29,135,Nishesh Basavareddy,21,446
2026-07-03T14:30:14Z,2026-06-29,136,A. Gea,,445
2026-07-03T14:30:14Z,2026-06-29,136,Arthur Gea,21,445
2026-07-03T14:30:14Z,2026-06-29,137,T. Barrios Vera,,442
2026-07-03T14:30:14Z,2026-06-29,137,Tomas Barrios Vera,28,442
2026-07-03T14:30:14Z,2026-06-29,138,J. Pinnington Jones,,434
2026-07-03T14:30:14Z,2026-06-29,138,Jack Pinnington Jones,23,434
2026-07-03T14:30:14Z,2026-06-29,139,K. Jacquet,,433
2026-07-03T14:30:14Z,2026-06-29,139,Kyrian Jacquet,25,433
2026-07-03T14:30:14Z,2026-06-29,140,O. Virtanen,,432
2026-07-03T14:30:14Z,2026-06-29,140,Otto Virtanen,25,432
2026-07-03T14:30:14Z,2026-06-29,141,G. Heide,,430
2026-07-03T14:30:14Z,2026-06-29,141,Gustavo Heide,24,430
2026-07-03T14:30:14Z,2026-06-29,142,J. Rodionov,,426
2026-07-03T14:30:14Z,2026-06-29,142,Jurij Rodionov,27,426
2026-07-03T14:30:14Z,2026-06-29,143,A. Holmgren,,423
2026-07-03T14:30:14Z,2026-06-29,143,August Holmgren,28,423
2026-07-03T14:30:14Z,2026-06-29,144,M. Zheng,,410
2026-07-03T14:30:14Z,2026-06-29,144,Michael Zheng,22,410
2026-07-03T14:30:14Z,2026-06-29,145,M. McDonald,,409
2026-07-03T14:30:14Z,2026-06-29,145,Mackenzie McDonald,31,409
2026-07-03T14:30:14Z,2026-06-29,146,G. Dimitrov,,407
2026-07-03T14:30:14Z,2026-06-29,146,Grigor Dimitrov,35,407
2026-07-03T14:30:14Z,2026-06-29,147,E. Moller,,406
2026-07-03T14:30:14Z,2026-06-29,147,Elmer Moller,22,406
2026-07-03T14:30:14Z,2026-06-29,148,S. Sakellaridis,,404
2026-07-03T14:30:14Z,2026-06-29,148,Stefanos Sakellaridis,21,404
2026-07-03T14:30:14Z,2026-06-29,149,T. Schoolkate,,403
2026-07-03T14:30:14Z,2026-06-29,149,Tristan Schoolkate,25,403
2026-07-03T14:30:14Z,2026-06-29,150,R. Sakamoto,,403
2026-07-03T14:30:14Z,2026-06-29,150,Rei Sakamoto,20,403
2026-07-03T14:30:14Z,2026-06-29,151,S. Mochizuki,,397
2026-07-03T14:30:14Z,2026-06-29,151,Shintaro Mochizuki,23,397
2026-07-03T14:30:14Z,2026-06-29,152,A. Bolt,,381
2026-07-03T14:30:14Z,2026-06-29,152,Alex Bolt,33,381
2026-07-03T14:30:14Z,2026-06-29,153,D. Lajovic,,378
2026-07-03T14:30:14Z,2026-06-29,153,Dusan Lajovic,35,378
2026-07-03T14:30:14Z,2026-06-29,154,Z. Kolar,,378
2026-07-03T14:30:14Z,2026-06-29,154,Zdenek Kolar,29,378
2026-07-03T14:30:14Z,2026-06-29,155,B. Harris,,375
2026-07-03T14:30:14Z,2026-06-29,155,Billy Harris,31,375
2026-07-03T14:30:14Z,2026-06-29,156,J. Thompson,,373
2026-07-03T14:30:14Z,2026-06-29,156,Jordan Thompson,32,373
2026-07-03T14:30:14Z,2026-06-29,157,M. Echargui,,373
2026-07-03T14:30:14Z,2026-06-29,157,Moez Echargui,33,373
2026-07-03T14:30:14Z,2026-06-29,158,L. Draxl,,368
2026-07-03T14:30:14Z,2026-06-29,158,Liam Draxl,24,368
2026-07-03T14:30:14Z,2026-06-29,159,J. Fearnley,,362
2026-07-03T14:30:14Z,2026-06-29,159,Jacob Fearnley,24,362
2026-07-03T14:30:14Z,2026-06-29,160,L. Harris,,359
2026-07-03T14:30:14Z,2026-06-29,160,Lloyd Harris,29,359
2026-07-03T14:30:14Z,2026-06-29,161,Z. Zhang,,359
2026-07-03T14:30:14Z,2026-06-29,161,Zhizhen Zhang,29,359
2026-07-03T14:30:14Z,2026-06-29,162,H. Dellien,,357
2026-07-03T14:30:14Z,2026-06-29,162,Hugo Dellien,33,357
2026-07-03T14:30:14Z,2026-06-29,163,R. Carballes Baena,,353
2026-07-03T14:30:14Z,2026-06-29,163,Roberto Carballes Baena,33,353
2026-07-03T14:30:14Z,2026-06-29,164,M. Lajal,,352
2026-07-03T14:30:14Z,2026-06-29,164,Mark Lajal,23,352
2026-07-03T14:30:14Z,2026-06-29,165,N. Mejia,,349
2026-07-03T14:30:14Z,2026-06-29,165,Nicolas Mejia,26,349
2026-07-03T14:30:14Z,2026-06-29,166,L. Nardi,,348
2026-07-03T14:30:14Z,2026-06-29,166,Luca Nardi,22,348
2026-07-03T14:30:14Z,2026-06-29,167,L. Neumayer,,345
2026-07-03T14:30:14Z,2026-06-29,167,Lukas Neumayer,23,345
2026-07-03T14:30:14Z,2026-06-29,168,D. Glinka,,345
2026-07-03T14:30:14Z,2026-06-29,168,Daniil Glinka,26,345
2026-07-03T14:30:14Z,2026-06-29,169,Z. Piros,,342
2026-07-03T14:30:14Z,2026-06-29,169,Zsombor Piros,26,342
2026-07-03T14:30:14Z,2026-06-29,170,U. Blanchet,,341
2026-07-03T14:30:14Z,2026-06-29,170,Ugo Blanchet,27,341
2026-07-03T14:30:14Z,2026-06-29,171,L. Klein,,335
2026-07-03T14:30:14Z,2026-06-29,171,Lukas Klein,28,335
2026-07-03T14:30:14Z,2026-06-29,172,T. Skatov,,335
2026-07-03T14:30:14Z,2026-06-29,172,Timofey Skatov,25,335
2026-07-03T14:30:14Z,2026-06-29,173,C. Rodesch,,334
2026-07-03T14:30:14Z,2026-06-29,173,Chris Rodesch,24,334
2026-07-03T14:30:14Z,2026-06-29,174,F. Cina,,333
2026-07-03T14:30:14Z,2026-06-29,174,Federico Cina,19,333
2026-07-03T14:30:14Z,2026-06-29,175,B. Gojo,,332
2026-07-03T14:30:14Z,2026-06-29,175,Borna Gojo,28,332
2026-07-03T14:30:14Z,2026-06-29,176,Y. Nishioka,,331
2026-07-03T14:30:14Z,2026-06-29,176,Yoshihito Nishioka,30,331
2026-07-03T14:30:14Z,2026-06-29,177,J. Schwaerzler,,331
2026-07-03T14:30:14Z,2026-06-29,177,Joel Schwaerzler,20,331
2026-07-03T14:30:14Z,2026-06-29,178,G. Onclin,,331
2026-07-03T14:30:14Z,2026-06-29,178,Gauthier Onclin,25,331
2026-07-03T14:30:14Z,2026-06-29,179,A. Galarneau,,328
2026-07-03T14:30:14Z,2026-06-29,179,Alexis Galarneau,27,328
2026-07-03T14:30:14Z,2026-06-29,180,L. Mikrut,,328
2026-07-03T14:30:14Z,2026-06-29,180,Luka Mikrut,22,328
2026-07-03T14:30:14Z,2026-06-29,181,J. Prado Angelo,,327
2026-07-03T14:30:14Z,2026-06-29,181,Juan Carlos Prado Angelo,21,327
2026-07-03T14:30:14Z,2026-06-29,182,G. Bueno,,322
2026-07-03T14:30:14Z,2026-06-29,182,Gonzalo Bueno,22,322
2026-07-03T14:30:14Z,2026-06-29,183,R. Bautista Agut,,318
2026-07-03T14:30:14Z,2026-06-29,183,Roberto Bautista Agut,38,318
2026-07-03T14:30:14Z,2026-06-29,184,D. Jorda Sanchis,,312
2026-07-03T14:30:14Z,2026-06-29,184,David Jorda Sanchis,32,312
2026-07-03T14:30:14Z,2026-06-29,185,F. Passaro,,310
2026-07-03T14:30:14Z,2026-06-29,185,Francesco Passaro,25,310
2026-07-03T14:30:14Z,2026-06-29,186,C. Smith,,309
2026-07-03T14:30:14Z,2026-06-29,186,Colton Smith,23,309
2026-07-03T14:30:14Z,2026-06-29,187,R. Bertola,,308
2026-07-03T14:30:14Z,2026-06-29,187,Remy Bertola,27,308
2026-07-03T14:30:14Z,2026-06-29,188,E. Ymer,,305
2026-07-03T14:30:14Z,2026-06-29,188,Elias Ymer,30,305
2026-07-03T14:30:14Z,2026-06-29,189,C. Tabur,,303
2026-07-03T14:30:14Z,2026-06-29,189,Clement Tabur,26,303
