player_name,normalized_name,player_page_url,discovered_from_url,scraped_at
,francisco cabral,https://www.tennisabstract.com/cgi-bin/player.cgi?p=144909/Francisco-Cabral,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,joe salisbury,https://www.tennisabstract.com/cgi-bin/player.cgi?p=110749/Joe-Salisbury,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,christian harrison,https://www.tennisabstract.com/cgi-bin/player.cgi?p=106328/Christian-Harrison,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,neal skupski,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105439/Neal-Skupski,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,marcel granollers,https://www.tennisabstract.com/cgi-bin/player.cgi?p=104719/Marcel-Granollers,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,daniel rincon,https://www.tennisabstract.com/cgi-bin/player.cgi?p=209405/Daniel-Rincon,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,oriol roca batalla,https://www.tennisabstract.com/cgi-bin/player.cgi?p=106177/Oriol-Roca-Batalla,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,austin krajicek,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105572/Austin-Krajicek,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,nikola mektic,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105254/Nikola-Mektic,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,romain arneodo,https://www.tennisabstract.com/cgi-bin/player.cgi?p=106033/Romain-Arneodo,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
,harri heliovaara,https://www.tennisabstract.com/cgi-bin/player.cgi?p=105349/Harri-Heliovaara,https://www.tennisabstract.com/current/2026ATPBarcelona.html,2026-04-16T14:33:50Z
Zizou Bergs,zizou bergs,https://www.tennisabstract.com/cgi-bin/player.cgi?p=200267/Zizou-Bergs,https://www.tennisabstract.com/current/2026ATPMunich.html,2026-04-16T14:33:50Z
