strategy_key,prob_mode,edge_threshold,match_id,date,surface,year,odds_source,prob,market_prob,edge,p1_decimal_odds,full_kelly,kelly_fraction_applied,bet_size,bankroll_before,bankroll_after,pnl,correct
raw_t0.02,raw,0.02,2025-8998_23.0,2025-01-09,hard,2025,pinnacle,0.4796150624752044,0.4098360655737705,0.06977899690143391,2.44,0.11823663363854083,0.05,619394.3139494684,12387886.278989367,11768491.9650399,-619394.3139494684,0
raw_t0.02,raw,0.02,2025-301_25.0,2025-01-10,hard,2025,pinnacle,0.7856001257896423,0.5847953216374269,0.20080480415221547,1.71,0.4836284719722372,0.05,588424.598251995,11768491.9650399,12186273.429798815,417781.46475891647,1
raw_t0.02,raw,0.02,2025-301_26.0,2025-01-10,hard,2025,pinnacle,0.5523438453674316,0.5025125628140703,0.049831282553361333,1.99,0.10016591139514038,0.05,609313.6714899408,12186273.429798815,11576959.758308874,-609313.6714899408,0
raw_t0.02,raw,0.02,2025-496_15.0,2025-01-10,hard,2025,pinnacle,0.5418748259544373,0.5025125628140703,0.03936226314036695,1.99,0.07912212489831329,0.03956106244915664,457996.8279698308,11576959.758308874,11118962.930339044,-457996.8279698308,0
raw_t0.02,raw,0.02,2025-301_27.0,2025-01-11,hard,2025,pinnacle,0.6871309876441956,0.6172839506172839,0.06984703702691164,1.62,0.1825035483606401,0.05,555948.1465169522,11118962.930339044,11463650.781179555,344687.8508405104,1
raw_t0.02,raw,0.02,2025-580_61.0,2025-01-12,hard,2025,pinnacle,0.5853790044784546,0.5263157894736842,0.05906321500477041,1.9,0.12468900945451526,0.05,573182.5390589777,11463650.781179555,10890468.242120577,-573182.5390589777,0
raw_t0.02,raw,0.02,2025-580_45.0,2025-01-13,hard,2025,pinnacle,0.7231735587120056,0.4784688995215311,0.24470465919047452,2.09,0.46920434652118503,0.05,544523.4121060289,10890468.242120577,11483998.761316149,593530.5191955714,1
raw_t0.02,raw,0.02,2025-580_31.0,2025-01-13,hard,2025,pinnacle,0.6119425892829895,0.4098360655737705,0.202106523709219,2.44,0.34245827628506553,0.05,574199.9380658075,11483998.761316149,12310846.67213091,826847.9108147627,1
raw_t0.02,raw,0.02,2025-580_34.0,2025-01-13,hard,2025,pinnacle,0.515299916267395,0.2392344497607655,0.27606546650662955,4.18,0.3628785062885884,0.05,615542.3336065456,12310846.67213091,11695304.338524366,-615542.3336065456,0
raw_t0.02,raw,0.02,2025-580_28.0,2025-01-13,hard,2025,pinnacle,0.0892289653420448,0.0284738041002277,0.0607551612418171,35.12,0.06253579316566862,0.03126789658283431,365687.56656175334,11695304.338524366,11329616.771962613,-365687.56656175334,0
raw_t0.02,raw,0.02,2025-580_42.0,2025-01-13,hard,2025,pinnacle,0.6636899709701538,0.4784688995215311,0.1852210714486227,2.09,0.3551486599335977,0.05,566480.8385981306,11329616.771962613,11947080.886034574,617464.1140719623,1
raw_t0.02,raw,0.02,2025-540_87.0,2025-01-13,grass,2025,pinnacle,0.6913524866104126,0.6711409395973155,0.02021154701309713,1.49,0.061459602141866854,0.030729801070933427,367131.4190061935,11947080.886034574,11579949.467028381,-367131.4190061935,0
raw_t0.02,raw,0.02,2025-416_56.0,2025-01-13,clay,2025,pinnacle,0.2696073949337005,0.0849617672047578,0.18464562772894272,11.77,0.20179006855799955,0.05,578997.4733514191,11579949.467028381,17815752.255023167,6235802.787994783,1
raw_t0.02,raw,0.02,2025-580_52.0,2025-01-13,hard,2025,pinnacle,0.777277410030365,0.7462686567164178,0.031008753313947146,1.34,0.12221096894320331,0.05,890787.6127511584,17815752.255023167,18118620.04335856,302867.78833539394,1
raw_t0.02,raw,0.02,2025-580_47.0,2025-01-13,hard,2025,pinnacle,0.7211533188819885,0.6993006993006994,0.021852619581289146,1.43,0.0726726651191711,0.03633633255958555,658364.203416249,18118620.04335856,18401716.65082755,283096.60746898706,1
raw_t0.02,raw,0.02,2025-580_48.0,2025-01-13,hard,2025,pinnacle,0.5647255182266235,0.2551020408163265,0.30962347741029705,3.92,0.4156589148795768,0.05,920085.8325413775,18401716.65082755,21088367.28184837,2686650.631020822,1
raw_t0.02,raw,0.02,2025-580_8.0,2025-01-14,hard,2025,pinnacle,0.3044130206108093,0.1468428781204111,0.15757014249039822,6.81,0.18469064894313453,0.05,1054418.3640924187,21088367.28184837,20033948.917755954,-1054418.3640924187,0
raw_t0.02,raw,0.02,2025-580_5.0,2025-01-14,hard,2025,pinnacle,0.8551830649375916,0.7518796992481203,0.1033033656894713,1.33,0.4163438677787782,0.05,1001697.4458877977,20033948.917755954,20364509.07489893,330560.15714297333,1
raw_t0.02,raw,0.02,2025-580_4.0,2025-01-14,hard,2025,pinnacle,0.7485620975494385,0.6211180124223602,0.12744408512707828,1.61,0.33636881484360004,0.05,1018225.4537449465,20364509.07489893,19346283.62115398,-1018225.4537449465,0
raw_t0.02,raw,0.02,2025-580_19.0,2025-01-14,hard,2025,pinnacle,0.5593258738517761,0.3496503496503497,0.20967552420142643,2.86,0.3224043006538063,0.05,967314.181057699,19346283.62115398,21145487.9979213,1799204.37676732,1
raw_t0.02,raw,0.02,2025-580_16.0,2025-01-14,hard,2025,pinnacle,0.324863076210022,0.1686340640809443,0.15622901212907767,5.93,0.18791846692199396,0.05,1057274.399896065,21145487.9979213,20088213.598025233,-1057274.399896065,0
raw_t0.02,raw,0.02,2025-580_14.0,2025-01-14,hard,2025,pinnacle,0.7073050141334534,0.5181347150259068,0.18917029910754657,1.93,0.39257922287910213,0.05,1004410.6799012617,20088213.598025233,21022315.530333407,934101.9323081733,1
raw_t0.02,raw,0.02,2025-337_20.0,2025-01-14,hard,2025,pinnacle,0.4382222890853882,0.3215434083601286,0.11667888072525956,3.11,0.1719769284623494,0.05,1051115.7765166704,21022315.530333407,19971199.75381674,-1051115.7765166704,0
raw_t0.02,raw,0.02,2025-404_84.0,2025-01-14,hard,2025,pinnacle,0.6859718561172485,0.6622516556291391,0.02372020048810941,1.51,0.07023039752361826,0.03511519876180913,701292.6488670683,19971199.75381674,20328859.00473894,357659.25092220487,1
raw_t0.02,raw,0.02,2025-741_27.0,2025-01-14,grass,2025,pinnacle,0.3514417707920074,0.0697350069735007,0.2817067638185067,14.34,0.3028242123806137,0.05,1016442.9502369472,20328859.00473894,19312416.054501995,-1016442.9502369472,0
raw_t0.02,raw,0.02,2025-580_22.0,2025-01-14,hard,2025,pinnacle,0.2882775366306305,0.2232142857142857,0.0650632509163448,4.48,0.08375958738655884,0.04187979369327942,808800.0000813209,19312416.054501995,18503616.054420676,-808800.0000813209,0
raw_t0.02,raw,0.02,2025-580_26.0,2025-01-14,hard,2025,pinnacle,0.2979968786239624,0.1821493624772313,0.11584751614673111,5.49,0.14164874468720573,0.05,925180.8027210338,18503616.054420676,17578435.25169964,-925180.8027210338,0
raw_t0.02,raw,0.02,2025-416_44.0,2025-01-15,clay,2025,pinnacle,0.3434500694274902,0.2409638554216867,0.10248621400580349,4.15,0.13502152003939186,0.05,878921.7625849821,17578435.25169964,16699513.489114659,-878921.7625849821,0
raw_t0.02,raw,0.02,2025-580_90.0,2025-01-15,hard,2025,pinnacle,0.2171725034713745,0.1029866117404737,0.11418589173090081,9.71,0.12729563819828318,0.05,834975.674455733,16699513.489114659,15864537.814658925,-834975.674455733,0
raw_t0.02,raw,0.02,2025-580_96.0,2025-01-15,hard,2025,pinnacle,0.5737162232398987,0.4166666666666667,0.157049556573232,2.4,0.2692278112683977,0.05,793226.8907329463,15864537.814658925,15071310.923925979,-793226.8907329463,0
raw_t0.02,raw,0.02,2025-580_93.0,2025-01-15,hard,2025,pinnacle,0.3209283351898193,0.2604166666666667,0.060511668523152595,3.84,0.08181859405947396,0.04090929702973698,616556.7352144076,15071310.923925979,16822332.051934898,1751021.1280089174,1
raw_t0.02,raw,0.02,2025-580_92.0,2025-01-15,hard,2025,pinnacle,0.682930052280426,0.5128205128205129,0.17010953945991314,1.95,0.3491722125756113,0.05,841116.6025967449,16822332.051934898,15981215.449338153,-841116.6025967449,0
