snapshot_date,scraped_at,player_name,official_rank,official_points,age,rankings_source
2026-04-17,2026-04-17T06:12:12Z,Francisco Comesana,92,649,25.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,R. Bautista Agut,93,649,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Roberto Bautista Agut,93,649,37.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,P. Carreno Busta,94,646,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Pablo Carreno Busta,94,646,34.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. Muller,95,641,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Alexandre Muller,95,641,29.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,P. Kypson,96,640,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Patrick Kypson,96,640,26.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. Vallejo,97,640,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Adolfo Daniel Vallejo,97,640,21.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,J. Fearnley,98,639,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Jacob Fearnley,98,639,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. Kovacevic,99,636,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Aleksandar Kovacevic,99,636,27.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,L. Van Assche,100,635,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Luca Van Assche,100,635,21.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,M. Landaluce,101,634,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Martin Landaluce,101,634,20.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Y. Wu,102,634,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Yibing Wu,102,634,26.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,R. Hijikata,103,632,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Rinky Hijikata,103,632,25.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,D. Merida,104,625,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Daniel Merida,104,625,21.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,M. Arnaldi,105,621,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Matteo Arnaldi,105,621,25.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,B. Bonzi,106,616,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Benjamin Bonzi,106,616,29.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,S. Wawrinka,107,608,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Stan Wawrinka,107,608,41.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,J. de Jong,108,600,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Jesper de Jong,108,600,25.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. Walton,109,595,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Adam Walton,109,595,26.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,S. Shimabukuro,110,588,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Sho Shimabukuro,110,588,28.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,F. Misolic,111,583,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Filip Misolic,111,583,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,E. Nava,112,580,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Emilio Nava,112,580,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,F. Maestrelli,113,577,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Francesco Maestrelli,113,577,23.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,T. Droguet,114,571,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Titouan Droguet,114,571,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,T. Schoolkate,115,558,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Tristan Schoolkate,115,558,25.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,H. Gaston,116,555,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Hugo Gaston,116,555,25.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,J. Choinski,117,524,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Jan Choinski,117,524,29.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,N. Basilashvili,118,516,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Nikoloz Basilashvili,118,516,34.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,C. Taberner,119,512,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Carlos Taberner,119,512,28.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,T. Barrios Vera,120,506,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Tomas Barrios Vera,120,506,28.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,C. Wong,121,503,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Coleman Wong,121,503,21.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,V. Gaubas,122,503,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Vilius Gaubas,122,503,21.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,M. McDonald,123,501,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Mackenzie McDonald,123,501,30.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,M. Damm,124,499,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Martin Damm,124,499,22.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,P. Martinez,125,496,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Pedro Martinez,125,496,28.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,H. Rocha,126,496,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Henrique Rocha,126,496,22.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,S. Mochizuki,127,495,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Shintaro Mochizuki,127,495,22.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,D. Svrcina,128,491,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Dalibor Svrcina,128,491,23.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,E. Moller,129,489,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Elmer Moller,129,489,22.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,O. Virtanen,130,487,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Otto Virtanen,130,487,24.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. Pellegrino,131,484,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Andrea Pellegrino,131,484,29.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,D. Sweeny,132,462,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Dane Sweeny,132,462,25.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,J. Pinnington Jones,133,461,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Jack Pinnington Jones,133,461,23.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,D. Lajovic,134,459,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Dusan Lajovic,134,459,35.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,G. Dimitrov,135,455,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Grigor Dimitrov,135,455,34.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,S. Travaglia,136,454,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Stefano Travaglia,136,454,34.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,B. Gojo,137,453,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Borna Gojo,137,453,28.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,A. Gea,138,451,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Arthur Gea,138,451,21.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,N. Budkov Kjaer,139,451,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Nicolai Budkov Kjaer,139,451,19.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,L. Nardi,140,444,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Luca Nardi,140,444,22.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,C. O'Connell,141,443,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Christopher O'Connell,141,443,31.0,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,J. Faria,142,443,,atp_daily_snapshot
2026-04-17,2026-04-17T06:12:12Z,Jaime Faria,142,443,22.0,atp_daily_snapshot
