date,year,surface,winner_name,loser_name,winner_odds,loser_odds,odds_source
2025-10-04,2025,hard,shang j.,khachanov k.,2.63,1.54,pinnacle
2025-10-05,2025,hard,diallo g.,goffin d.,1.56,2.59,pinnacle
2025-10-05,2025,hard,rune h.,humbert u.,1.54,2.66,pinnacle
2025-10-05,2025,hard,bergs z.,cerundolo f.,2.39,1.65,pinnacle
2025-10-05,2025,hard,mpetshi g.,fritz t.,4.04,1.29,pinnacle
2025-10-05,2025,hard,munar j.,nishioka y.,1.49,2.83,pinnacle
2025-10-05,2025,hard,djokovic n.,hanfmann y.,1.11,8.0,pinnacle
2025-10-05,2025,hard,vacherot v.,machac t.,3.3,1.39,pinnacle
2025-10-05,2025,hard,griekspoor t.,sinner j.,19.0,1.02,bet365
2025-10-06,2025,hard,de minaur a.,majchrzak k.,1.15,6.45,pinnacle
2025-10-06,2025,hard,auger-aliassime f.,de jong j.,1.24,4.53,pinnacle
2025-10-06,2025,hard,borges n.,shang j.,2.26,1.71,pinnacle
2025-10-06,2025,hard,lehecka j.,shapovalov d.,1.55,2.63,pinnacle
2025-10-06,2025,hard,musetti l.,darderi l.,1.25,4.5,pinnacle
2025-10-06,2025,hard,rinderknech a.,zverev a.,3.5,1.35,pinnacle
2025-10-06,2025,hard,tien l.,norrie c.,1.76,2.2,pinnacle
2025-10-06,2025,hard,medvedev d.,davidovich fokina a.,1.54,2.66,pinnacle
2025-10-07,2025,hard,bergs z.,diallo g.,2.57,1.57,pinnacle
2025-10-07,2025,hard,rune h.,mpetshi g.,1.56,2.61,pinnacle
2025-10-07,2025,hard,djokovic n.,munar j.,1.23,4.42,pinnacle
2025-10-07,2025,hard,vacherot v.,griekspoor t.,2.43,1.63,pinnacle
2025-10-08,2025,hard,rinderknech a.,lehecka j.,3.64,1.33,pinnacle
2025-10-08,2025,hard,de minaur a.,borges n.,1.14,6.72,pinnacle
2025-10-08,2025,hard,auger-aliassime f.,musetti l.,1.96,1.94,pinnacle
2025-10-08,2025,hard,medvedev d.,tien l.,1.37,3.39,pinnacle
2025-10-09,2025,hard,vacherot v.,rune h.,3.89,1.3,pinnacle
2025-10-09,2025,hard,djokovic n.,bergs z.,1.29,3.97,pinnacle
2025-10-10,2025,hard,rinderknech a.,auger-aliassime f.,3.6,1.34,pinnacle
2025-10-10,2025,hard,medvedev d.,de minaur a.,2.6,1.56,pinnacle
2025-10-11,2025,hard,vacherot v.,djokovic n.,6.68,1.14,pinnacle
2025-10-11,2025,hard,rinderknech a.,medvedev d.,3.26,1.38,pinnacle
2025-10-12,2025,hard,vacherot v.,rinderknech a.,2.28,1.69,pinnacle
2025-10-13,2025,hard,marozsan f.,nardi l.,1.46,2.9,pinnacle
2025-10-13,2025,hard,diallo g.,omarkhanov a.,1.01,23.0,bet365
2025-10-13,2025,hard,duckworth j.,blanchet u.,2.18,1.74,pinnacle
2025-10-13,2025,hard,moutet c.,tomic b.,1.28,4.03,pinnacle
2025-10-14,2025,hard,walton a.,schoolkate t.,1.88,2.01,pinnacle
2025-10-14,2025,hard,vukic a.,topo m.,1.5,2.77,pinnacle
2025-10-14,2025,hard,hijikata r.,skatov t.,1.44,2.75,bet365
2025-10-14,2025,hard,nakashima b.,medjedovic h.,1.81,2.09,pinnacle
2025-10-14,2025,hard,shevchenko a.,djere l.,1.68,2.3,pinnacle
2025-10-15,2025,hard,mochizuki s.,cazaux a.,3.61,1.33,pinnacle
2025-10-15,2025,hard,struff j.l.,mcdonald m.,1.65,2.37,pinnacle
2025-10-15,2025,hard,michelsen a.,zhukayev b.,1.49,2.79,pinnacle
2025-10-15,2025,hard,duckworth j.,diallo g.,4.79,1.22,pinnacle
2025-10-15,2025,hard,cobolli f.,hijikata r.,1.44,2.97,pinnacle
2025-10-15,2025,hard,moutet c.,shevchenko a.,1.46,2.89,pinnacle
2025-10-15,2025,hard,marozsan f.,nakashima b.,2.44,1.6,pinnacle
2025-10-16,2025,hard,michelsen a.,vukic a.,1.61,2.45,pinnacle
2025-10-16,2025,hard,mochizuki s.,darderi l.,2.28,1.68,pinnacle
2025-10-16,2025,hard,medvedev d.,walton a.,1.16,6.13,pinnacle
2025-10-16,2025,hard,struff j.l.,khachanov k.,2.89,1.47,pinnacle
2025-10-17,2025,hard,duckworth j.,cobolli f.,3.09,1.43,pinnacle
2025-10-17,2025,hard,medvedev d.,marozsan f.,1.43,3.07,pinnacle
2025-10-17,2025,hard,michelsen a.,mochizuki s.,1.52,2.74,pinnacle
2025-10-17,2025,hard,moutet c.,struff j.l.,1.74,2.23,pinnacle
2025-10-18,2025,hard,medvedev d.,duckworth j.,1.19,5.35,pinnacle
2025-10-18,2025,hard,moutet c.,michelsen a.,1.83,2.07,pinnacle
